Timestamp,מסלול לימודים,באיזה סמסטר היית כשקיבלת את ההצעה?,ממוצע (נכון לתקופת חיפוש העבודה),האם ביקשו גיליון ציונים?,קורסי מפתח שעשית לפני הצעת העבודה,האם היה לך ניסיון לפני קבלת המשרה?,"שכר שעתי במשרת הסטודנט הראשונה (ש""ח לשעה)",האם התמקחת אחרי קבלת ההצעה?,חברה (נא לכתוב באנגלית את שם החברה),תחום המשרה,מין,טעם גלידה אהוב
16/08/2022 12:35:22,הנדסת מחשבים,5,88,כן,"מת""מ",ללא ניסיון כלל,100,לא,Intel,Embedded,זכר,בייגלה מלוח - קרמל
16/08/2022 12:36:57,"מדמ""ח",4,80,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,85,לא,Philips,Software Development,נקבה,פיסטוק
16/08/2022 12:37:34,"מדמ""ח",4,86,כן,"מת""מ, מבני נתונים, הפעלה",ללא ניסיון כלל,110,לא,Apple,Embedded,נקבה,פיסטוק
16/08/2022 12:39:02,"מדמ""ח",3,85,כן,"מת""מ",ללא ניסיון כלל,93,לא,Intel,Backend,זכר,שוקולד בראוניס
16/08/2022 12:41:55,הנדסת מחשבים,6,75,לא,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",ללא ניסיון כלל,70,לא,,Backend,,פיסטוק
16/08/2022 12:42:02,"מדמ""ח",2,92,לא,,ניסיון רלוונטי מהצבא,148,לא,,Embedded,זכר,שוקולד בראוניס
16/08/2022 12:42:09,הנדסת מחשבים,3,80,כן,"מת""מ, מבני נתונים",פרויקטים אישיים משמעותיים,90,לא,,Embedded,זכר,וניל עוגיות
16/08/2022 12:42:41,"מדמ""ח",5,75,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",פרויקטים אישיים משמעותיים,80,כן,,Software Development,זכר,וניל עוגיות
16/08/2022 12:42:42,"מדמ""ח",3,81,כן,"מת""מ",ללא ניסיון כלל,87,לא,Intel,Embedded,זכר,פיסטוק
16/08/2022 12:42:59,"מדמ""ח",3,88,כן,"מת""מ, מבני נתונים",פרויקטים אישיים משמעותיים,108,כן,,Embedded,זכר,
16/08/2022 12:44:13,"מדמ""ח",3,92,כן,,פרויקטים אישיים משמעותיים,80,כן,,Software Development,זכר,
16/08/2022 12:44:32,"מדמ""ח",6,78,לא,"מת""מ, מבני נתונים",ללא ניסיון כלל,75,לא,,Full Stack,זכר,וניל עוגיות
16/08/2022 12:45:21,"מדמ""ח",5,76,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,75,לא,Rafael,Frontend,זכר,פיסטוק
16/08/2022 12:46:56,"מדמ""ח",7,79,לא,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",פרויקטים אישיים משמעותיים,110,לא,Elbit,Software Development,נקבה,פיסטוק
16/08/2022 12:48:09,"מדמ""ח",3,88,כן,"מת""מ",פרויקטים אישיים משמעותיים,135,כן,Google,Backend,זכר,פיסטוק
16/08/2022 12:48:33,"מדמ""ח",4,84,כן,"מת""מ, מבני נתונים, הפעלה",ללא ניסיון כלל,110,לא,Not relevant ,Software Development,זכר,שוקולד בראוניס
16/08/2022 12:48:41,"מדמ""ח",6,86,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,93,כן,Elbit,Software Development,נקבה,פיסטוק
16/08/2022 12:49:22,הנדסת מחשבים,5,90,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,110,לא,Mobileye,Software Development,זכר,פיסטוק
16/08/2022 12:50:49,הנדסת מחשבים,5,86,לא,"מת""מ, מבני נתונים, הפעלה",ללא ניסיון כלל,80,לא,Intel,Software Development,זכר,פיסטוק
16/08/2022 12:50:52,"מדמ""ח",5,90,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",,111,כן,Amazon,Backend,נקבה,פיסטוק
16/08/2022 12:52:21,"מדמ""ח",3,78,לא,"מת""מ",ללא ניסיון כלל,80,כן,Autotalks,Embedded,זכר,פיסטוק
16/08/2022 12:54:47,"מדמ""ח",3,87,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,130,לא,Amazon,Embedded,זכר,פיסטוק
16/08/2022 12:54:55,"מדמ""ח",4,81,לא,"מת""מ, מבני נתונים, אלגו",ללא ניסיון כלל,85,כן,,Software Development,נקבה,וניל עוגיות
16/08/2022 12:55:12,"מדמ""ח",4,90,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,110,לא,Microsoft,Software Development,זכר,בצק עוגיות
16/08/2022 12:56:05,הנדסת מחשבים,4,80,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,95,לא,Intel,Embedded,זכר,פיסטוק
16/08/2022 12:56:12,"מדמ""ח",8,83,לא,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,75,לא,"Motorola Solutions (לא לפרסם, אני היחיד משם)",Software Development,זכר,וניל עוגיות
16/08/2022 12:57:37,"מדמ""ח",6,93.5,לא,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,111,לא,Amazon,Software Development,זכר,שוקולד בראוניס
16/08/2022 12:59:56,"מדמ""ח",7,92,כן,"מת""מ, מבני נתונים, אלגו",ללא ניסיון כלל,100,לא,Intel,Software Development,זכר,וניל עוגיות
16/08/2022 13:03:42,"מדמ""ח",3,80,כן,"מת""מ",ללא ניסיון כלל,70,לא,Rafael,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 13:04:12,"מדמ""ח",4,93,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,120,לא,Mobileye,Software Development,נקבה,פיסטוק
16/08/2022 13:05:17,"מדמ""ח",2,79,כן,"מת""מ",ללא ניסיון כלל,90,לא,Elbit,Software Development,זכר,פיסטוק
16/08/2022 13:07:30,"מדמ""ח",4,91,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,100,לא,Rafael,Embedded,זכר,פיסטוק
16/08/2022 13:09:18,"מדמ""ח",6,90,כן,"מת""מ, מבני נתונים, הפעלה, אלגו, קורס בחירה הקשור לתחום (מבוא ללומדות / הגנה ברשתות ..)",פרויקטים אישיים משמעותיים,120,לא,Check Point,Software Development,זכר,וניל עוגיות
16/08/2022 13:13:32,,,,,,,,,,,,
16/08/2022 13:14:07,"מדמ""ח",3,86.5,כן,"מת""מ, מבני נתונים",ללא ניסיון כלל,90,כן,Intel,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 13:16:10,"מדמ""ח",4,90,לא,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,120,כן,Microsoft,Software Development,נקבה,פיסטוק
16/08/2022 13:16:56,"מדמ""ח",4,,לא,"מת""מ, מבני נתונים",פרויקטים אישיים משמעותיים,105,לא,Microsoft,Software Development,זכר,בייגלה מלוח - קרמל
16/08/2022 13:19:11,"מדמ""ח",7,80,כן,"מת""מ, מבני נתונים, הפעלה, אלגו",ללא ניסיון כלל,80,לא,Solaredge,Embedded,נקבה,בייגלה מלוח - קרמל
